,Average Temperature,Maximum temperature,Minimum temperature,Atmospheric pressure at sea level,Average relative humidity,Total rainfall and / or snowmelt,Average visibility,Average wind speed,Maximum sustained wind speed,PM2.5 AQI Value,AQI Category
3915,16.7,24.4,8.3,1018.7,41,0,16.1,4.8,13,22.0,Good
3916,18.3,24.4,15,1011.2,36,0,16.1,10.2,22.2,73.0,Moderate
3917,14.1,16.1,12.2,1010.8,70,0,11.3,9.3,14.8,77.0,Moderate
3921,13.2,20.6,9.4,1000.7,75,3.3,15.8,10.4,18.3,11.0,Good
3922,13.8,18.9,10,1006.4,71,4.32,16.1,8,18.3,10.0,Good
3923,12.2,18.9,9.4,1014,81,1.78,14.2,9.4,16.5,20.0,Good
3927,19.6,26.1,8.9,1009.8,36,0,16.1,4.4,18.3,23.0,Good
3928,18.2,26.1,10.6,1008.7,55,0,16.1,9.3,24.1,20.0,Good
3929,17.3,22.8,12.8,1009.7,65,3.05,16.1,4.6,14.8,26.0,Good
3933,21.8,29.4,8.9,1010.8,44,0,16.1,12.2,18.3,19.0,Good
3934,19.6,31.1,13.9,1009,63,0,16.1,7.6,22.2,21.0,Good
3935,17.4,24.4,12.8,1007.8,72,2.03,16.1,2.8,9.4,153.0,Unhealthy
3940,15.9,20.6,11.1,998.8,70,3.3,15.9,6.1,18.3,27.0,Good
3941,15.6,20.6,10,1001.9,66,0.25,16.1,4.3,14.8,32.0,Good
3942,13.7,21.1,10,1000.7,91,3.56,10.8,2.6,18.3,22.0,Good
3946,20.1,26.7,11.1,1013.7,53,0.25,16.1,5.7,33.5,66.0,Moderate
3947,19.9,26.7,11.7,1011.3,57,0,16.1,9.4,22.2,60.0,Moderate
3948,17.1,24.4,13.9,1011.1,72,13.21,16.1,6.3,25.9,0.0,Good
3952,15.2,21.7,12.2,1013.8,69,0.25,16.1,6.9,13,5.0,Good
3953,16.2,21.1,9.4,1008.6,51,0,16.1,5.4,13,26.0,Good
3954,16.4,20,10,1007.3,56,0,16.1,4.8,13,40.0,Good
3959,14.3,22.2,7.2,1013.7,59,0,16.1,3.9,11.1,14.0,Good
3960,18.4,24.4,7.8,1010.5,55,0,16.1,1.9,9.4,0.0,Good
3964,17.2,21.7,12,1001.8,63,0.51,15.4,4.6,13,0.0,Good
3965,16.3,22.8,11.1,1005.9,68,0,16.1,8.9,20.6,42.0,Good
3966,14.8,20,11.7,1007.2,87,5.59,10.9,5.4,13,8.0,Good
3970,12.6,16.7,10,1007.3,77,1.78,16.1,8.9,20.6,12.0,Good
3972,15,21.7,10,1004.1,68,0.51,16.1,5.4,16.5,21.0,Good
3973,16.9,21.7,11.1,1000.6,56,0,16.1,5.7,16.5,24.0,Good
3974,16.7,21.1,12.2,1000.2,60,0,16.1,5.4,13,18.0,Good
3978,13.1,19.4,8.3,1010.1,62,0.76,16.1,11.3,22.2,48.0,Good
3979,9.1,16.1,4,1016.4,79,0.76,14.6,3.1,14.8,42.0,Good
3980,12.6,17.8,5,1014,66,0,15.4,4.6,16.5,88.0,Moderate
3984,14.8,20.6,11,1012.5,72,0,13.7,3.9,13,82.0,Moderate
3990,14.7,21.7,7.8,1004.5,61,0.51,16.1,10.9,29.4,31.0,Good
3991,15.7,21.7,8.9,987,63,0,14.8,13,25.9,10.0,Good
3992,11.7,17.8,9.4,985.1,88,7.37,13.7,4.3,11.1,3.0,Good
3996,12.2,20.6,5,1005.9,71,0,16.1,2.4,11.1,18.0,Good
3997,13.4,21.1,6.1,1006.7,60,0,16.1,4.4,11.1,8.0,Good
3998,13.8,21.7,6.1,1006.2,63,0,16.1,3.5,9.4,15.0,Good
4002,13.5,20,7.2,1010.8,70,0,16.1,3,13,16.0,Good
4004,13,19.4,8.3,1009,72,0,15.3,7.6,14.8,8.0,Good
4005,10.6,17.8,4.4,1010,75,0.25,16.1,4.3,14.8,15.0,Good
4006,12.6,18.3,5,1000.3,69,0,15.6,2.8,11.1,18.0,Good
4010,12.4,19.4,6.1,992.4,65,0.76,16.1,4.8,14.8,18.0,Good
4011,11.9,20.6,5,1009,61,0,16.1,2.4,9.4,19.0,Good
4012,8.7,18.3,2.8,1011.2,73,0,15.6,3.5,16.5,17.0,Good
4016,11,20,4.4,1003.9,65,0,16.1,6.9,14.8,21.0,Good
4017,11.2,22.2,3.3,1001.7,67,0.51,16.1,3.5,14.8,24.0,Good
4018,11.4,18.3,5,1001.1,72,0,16.1,3.1,11.1,16.0,Good
4022,8.5,16.1,1.7,997.2,63,0,16.1,3.5,16.5,15.0,Good
4023,12.7,17.2,3.9,983.7,44,0,16.1,16.3,24.1,13.0,Good
4024,12.3,19.4,5,979.1,49,0,16.1,7.2,14.8,17.0,Good
4028,4.6,10.6,0,1000.8,81,0.76,16.1,7.4,13,17.0,Good
4029,3.6,11.1,-2,1000.4,77,0,16.1,3.3,11.1,28.0,Good
4030,4.7,10,0,999.6,68,0,16.1,5.9,11.1,24.0,Good
4035,1.2,7.8,-3.3,1004.2,83,0,15.6,1.1,9.4,32.0,Good
4036,5.7,13.9,-2.8,1002,62,0,16.1,6.3,11.1,34.0,Good
4037,6.1,13.9,0,997.7,52,0,16.1,5.2,11.1,35.0,Good
4041,3.8,11.1,-1.7,1001.2,65,0,16.1,0.9,7.6,29.0,Good
4042,2.6,8.9,-2.2,1009.5,75,0,16.1,1.9,9.4,32.0,Good
4043,3.4,10,-1.7,1005.5,66,0,16.1,9.3,14.8,24.0,Good
4047,-4.1,0.6,-7.8,1015.3,81,0,15.1,3,9.4,48.0,Good
4048,-0.3,10,-7.8,1003.9,69,0,15.9,6.3,14.8,33.0,Good
4049,2.4,10,-6.1,996.6,67,0,16.1,4.3,13,43.0,Good
4053,-1.9,0,-3.9,1007.1,91,1.78,6,4.8,11.1,19.0,Good
4054,-5.2,-1.1,-9.4,1007.7,88,0.76,14.2,3.7,11.1,37.0,Good
4055,-7.3,0,-11.7,1002.8,86,0,16.1,1.9,7.6,55.0,Moderate
4059,0.6,6.7,-9.4,993.7,74,0,16.1,10.4,14.8,46.0,Good
4060,0.1,7.2,-2.8,985.9,75,0,12.4,7.8,22.2,58.0,Moderate
4061,-5.5,2.2,-10.6,1002.5,85,1.27,15.6,4.4,11.1,49.0,Good
4065,-10.7,-6.7,-16.1,1008.1,86,1.27,15.9,1.5,7.6,68.0,Moderate
4067,-16.9,-6.7,-20.6,1010,82,0,11.4,2.4,11.1,56.0,Moderate
4068,-18.6,-13.9,-22.8,1024.9,78,0,9.7,9.1,16.5,48.0,Good
4069,-20.2,-10.6,-24.4,1023.9,80,0.25,15.3,8.5,16.5,84.0,Moderate
4073,-9.6,-5.6,-18.3,998.3,83,1.52,6,10.9,22.2,62.0,Moderate
4074,-14.3,-6.7,-20.6,1019.7,85,1.52,11.7,6.1,11.1,58.0,Moderate
4075,-20,-11.7,-25.6,1018.1,80,0,16.1,13,22.2,70.0,Moderate
4079,-11.8,-8.9,-20.6,988.7,82,1.27,6.1,9.6,20.6,15.0,Good
4080,-20.4,-10.6,-29.4,1007.7,79,1.52,12.2,8.7,22.2,79.0,Moderate
4081,-27.1,-16.7,-31.7,1018.4,77,0,10.9,0,-,78.0,Moderate
4085,-35.1,-29.4,-39.4,1027.3,98,0.51,11.3,0.9,7.6,146.0,Unhealthy for Sensitive Groups
4086,-34.2,-30.6,-37.8,1008.5,83,0,9.8,0.2,5.4,115.0,Unhealthy for Sensitive Groups
4087,-36.3,-30,-38.9,1000.3,99,0,9.7,1.5,7.6,98.0,Moderate
4091,-20.5,-18.9,-28.3,1001.7,79,0,14,1.3,7.6,54.0,Moderate
4092,-25.8,-19.4,-32.2,1010.6,80,0,14.6,0.9,5.4,77.0,Moderate
4093,-29.9,-21.1,-33.9,1006.3,76,0.25,13.7,0.7,5.4,99.0,Moderate
4098,-18.2,-8.9,-21.7,1001.8,84,0,14.3,3,14.8,86.0,Moderate
4099,-13,-3.9,-16.7,1011.1,87,0.25,19,4.3,25.9,113.0,Unhealthy for Sensitive Groups
4100,-11.1,-3.3,-18.9,1022.4,85,1.27,14.2,9.4,25.9,73.0,Moderate
4104,-15.3,-5,-24.4,1026.7,80,0,12.6,6.7,16.5,106.0,Unhealthy for Sensitive Groups
4105,-10,-5.6,-18.3,1010.4,84,0,14.8,1.3,9.4,83.0,Moderate
4106,-11.3,-5.6,-17.8,1008.7,89,0,11.9,0.2,5.4,52.0,Moderate
4110,-5.3,-2.8,-9,1006.3,86,1.27,11.1,8.7,22.2,51.0,Moderate
4111,-13.2,-2.8,-21.1,1008,89,0.25,10.6,0.9,11.1,79.0,Moderate
4112,-18.9,-6.7,-25.6,1004.3,84,0,15.8,3,13,75.0,Moderate
4116,-4.1,2.8,-16.7,986.4,76,0,13.8,4.6,13,64.0,Moderate
4117,-9.4,-1.1,-15,1003.5,90,0.76,14.2,2.8,11.1,77.0,Moderate
4118,-6.8,-1.7,-13.9,996.4,82,0.25,14.6,9.4,24.1,56.0,Moderate
4122,-28.4,-17.2,-32.8,1000.8,76,0,14.8,1.1,7.6,92.0,Moderate
4123,-23.9,-18.9,-31.7,1002.2,81,5.08,10.6,1.1,5.4,131.0,Unhealthy for Sensitive Groups
4124,-25.4,-18.9,-31.1,991.1,78,0,11.9,0.4,5.4,141.0,Unhealthy for Sensitive Groups
4128,-32.7,-30,-37.8,1013.6,78,0.25,10.8,0.2,5.4,80.0,Moderate
4129,-36.3,-31.7,-41.1,1019.1,-,0,9.7,0,-,77.0,Moderate
4130,-33.7,-31.1,-37.2,999.6,78,0.76,6.6,1.5,5.4,40.0,Good
4131,-38.4,-30.6,-42.2,1009.9,-,1.02,10,1.3,7.6,76.0,Moderate
4135,-32.8,-23.9,-41.1,1003.9,-,3.05,12.7,1.9,14.8,58.0,Moderate
4136,-27.1,-26,-28.3,992.4,77,1.02,5,4.3,13,29.0,Good
4137,-33.9,-26,-39.4,1017,-,2.54,7.4,0.9,7.6,95.0,Moderate
4141,-27.1,-15,-37.2,1030.7,72,1.78,8.4,10,22.2,75.0,Moderate
4142,-40.5,-36.7,-43,1049.9,-,0.25,4.5,0.2,5.4,119.0,Unhealthy for Sensitive Groups
4143,-42.1,-37.8,-43.3,1054.9,-,0,1.1,0,5.4,109.0,Unhealthy for Sensitive Groups
4147,-31.4,-26.7,-41.7,1026.7,88,0.25,12.2,1.1,5.4,113.0,Unhealthy for Sensitive Groups
4148,-34.3,-26.7,-38.9,1019.4,95,0,16.1,2.2,7.6,152.0,Unhealthy
4149,-31.8,-26,-35,1000.3,83,0.25,13.5,0.9,7.6,87.0,Moderate
4153,-28.1,-25,-35,993.7,67,0.25,15,5.2,16.5,41.0,Good
4154,-27.9,-26.1,-35,1005.6,65,0,13.8,6.9,14.8,28.0,Good
4155,-35.2,-29.4,-40,1021.6,-,0,8.4,0.9,9.4,79.0,Moderate
4159,-33.1,-31.7,-43.3,999.3,76,2.29,8.2,1.7,7.6,69.0,Moderate
4161,-35.5,-29.4,-39.4,999.6,-,0.25,14.3,0.2,5.4,109.0,Unhealthy for Sensitive Groups
4162,-23.1,-17.8,-29.4,980,76,0,14.3,2.6,14.8,67.0,Moderate
4163,-18.4,-15.6,-20.6,991,81,0,16.1,7,22.2,27.0,Good
4167,-17.1,-6.7,-22.8,1016.6,86,0,16.1,2,9.4,70.0,Moderate
4168,-11.4,-2.8,-21.7,1009.6,79,0,16.1,10.9,18.3,35.0,Good
4169,-7.3,0.6,-18.3,1005.3,80,0,16.1,4.1,11.1,63.0,Moderate
4173,-12,-3.3,-17.8,995.2,86,0,16.1,3.1,11.1,60.0,Moderate
4174,-7.3,-2.2,-16.7,998.1,82,0,14.5,4.3,13,16.0,Good
4175,-10.8,-5,-18.3,1005.6,89,1.27,16.1,4.6,14.8,85.0,Moderate
4180,-18.8,-6.7,-25,994.9,82,0,16.1,3.3,9.4,48.0,Good
4181,-13.3,-6.7,-22.8,985,79,0,16.1,1.9,11.1,58.0,Moderate
4185,-15.8,-10,-21.1,1026.4,82,1.27,11.1,1.7,9.4,28.0,Good
4186,-11.4,-3.9,-19.4,1011,76,0,14.8,9.3,16.5,23.0,Good
4187,-12.2,-4.4,-16,996.2,80,0,9.8,4.8,9.4,18.0,Good
4191,-22.3,-12.8,-28.9,1010.1,70,0,16.1,10.2,16.5,58.0,Moderate
4192,-17.3,-11.7,-28.9,1000.6,59,0,16.1,13.1,20.6,37.0,Good
4193,-17.7,-12.2,-22.8,1006,77,0,11.7,3.1,11.1,16.0,Good
4197,-5.9,-3.9,-13.3,1006.6,88,7.11,3.7,4.4,20.6,30.0,Good
4198,-13.6,-3.9,-25,1008.7,89,4.32,12.7,1.1,11.1,47.0,Good
4199,-9.9,-7.2,-13.3,993.7,68,0,13.7,13.9,25.9,13.0,Good
4203,-20.2,-11.1,-27.8,994.6,65,0.76,16.1,8.3,16.5,55.0,Moderate
4204,-14.9,-8.3,-26.1,991.4,59,0,16.1,12,18.3,56.0,Moderate
4205,-13.5,-6.7,-22.2,991.5,56,0,16.1,13.3,24.1,45.0,Good
4209,-21.5,-13.9,-32.8,1010,74,0,16.1,2.6,14.8,71.0,Moderate
4210,-16.6,-13.3,-19.4,1011,70,0,14.3,3.9,14.8,13.0,Good
4211,-16.9,-10.6,-24.4,1013.1,51,0.51,16.1,8.9,20.6,21.0,Good
4215,-9.8,-1.7,-17.2,1014.3,78,0.51,15.9,3.3,13,49.0,Good
4216,-10.4,-1.1,-21.7,1007.5,64,0,16.1,2.2,11.1,41.0,Good
4217,-7.8,1.7,-17.8,1002.2,57,0,16.1,8.3,20.6,35.0,Good
4221,-4.4,1.1,-12.8,997,67,0,12.9,3.3,13,22.0,Good
4223,-4.5,0,-8.9,1006.1,73,0.76,15.3,3.9,13,21.0,Good
4224,-7.4,-1.1,-16.1,1009.1,60,0,16.1,10,18.3,27.0,Good
4225,-8.4,-4.4,-12.8,1007.9,59,0,15.8,8.9,18.3,25.0,Good
4229,-2.4,3.9,-8.3,1024.6,68,0,16.1,4.3,16.5,12.0,Good
4230,-0.6,5,-7.8,1026.5,67,0,16.1,4.1,9.4,17.0,Good
4231,2.1,6.7,-3.3,1020,51,0,16.1,4.3,11.1,35.0,Good
4235,4.6,11.1,-1.6,1013.1,52,0,16.1,9.1,16.5,22.0,Good
4236,4.6,11.7,0.6,1012.3,61,0,16.1,15.6,22.2,15.0,Good
4237,5.4,13.3,-0.6,1008.7,58,0,16.1,11.1,20.6,31.0,Good
4241,7.1,13.9,-1.1,1007.2,56,0,16.1,3.9,13,26.0,Good
4242,8.6,13.9,1.1,1004.7,49,0,16.1,7.8,14.8,17.0,Good
4243,5.2,13.3,-2.2,1008.2,54,0,16.1,5,20.6,20.0,Good
4247,8.6,13.9,0,1011.6,48,0.51,16.1,10.4,25.9,11.0,Good
4248,7.3,13.9,1.1,1009.5,44,0,16.1,10.6,24.1,12.0,Good
4249,7.4,13.9,1.7,1005.5,43,0,16.1,12.2,25.9,23.0,Good
4254,1.1,8.9,-3.3,1006.7,47,0,15.4,13.7,25.9,15.0,Good
4255,-2.9,3.9,-6.1,1009.6,46,0,16.1,10.2,25.9,14.0,Good
4256,-1,6.7,-7.8,1007.9,42,0,16.1,7.2,13,25.0,Good
4260,8.9,14.4,0.6,1004.6,47,0,16.1,14.1,35.2,6.0,Good
4261,6.9,14.4,1.7,1004.1,54,0,16.1,13.1,27.8,8.0,Good
4262,6.6,12.2,0,1002.7,47,0,16.1,9.8,22.2,19.0,Good
4266,9.1,16.1,1.1,1003.7,40,0,16.1,8.1,18.3,5.0,Good
4267,7.8,13.9,-1.1,1014.5,35,0,16.1,7.2,16.5,13.0,Good
4268,6.1,13.3,0,1021.7,64,3.3,16.1,10.7,29.4,12.0,Good
4272,12.7,19.4,3.3,1009.1,29,0,16.1,6.5,13,10.0,Good
4273,13.4,19.4,3.3,1007.9,31,0,16.1,5.9,20.6,12.0,Good
4274,14.1,21.1,5.6,1004.1,35,0,16.1,6.9,16.5,30.0,Good
4278,13.6,20.6,7.2,1010.5,70,2.79,14,4.6,13,8.0,Good
4279,9.8,17.2,4.4,1003.1,79,10.92,15.3,3.9,13,13.0,Good
4280,13.4,16.7,4.4,1001.9,58,0,15.9,7.2,16.5,34.0,Good
4284,14.2,20.6,5,996.7,40,0,16.1,5,22.2,15.0,Good
4286,14.1,20.6,5.6,1001.7,52,0,16.1,8.7,22.2,8.0,Good
4287,11.6,17.2,8.9,1005.1,80,9.91,15.6,5.2,24.1,12.0,Good
4288,14.5,21.7,7.2,1011.2,60,4.57,16.1,4.3,24.1,13.0,Good
4292,15.8,24.4,10,1012,72,3.05,15.9,4.8,13,15.0,Good
4293,20.7,25,10,1005.6,52,0,16.1,9.3,16.5,26.0,Good
4294,16.3,26.1,12.8,1009.5,72,2.79,16.1,10.9,24.1,4.0,Good
4298,10.3,19.4,6.1,1010.4,68,1.52,16.1,7.2,16.5,11.0,Good
4299,12.6,20,7.2,1013.3,72,2.29,16.1,4.6,11.1,19.0,Good
4300,14.5,22.2,6.7,1009.2,58,0,16.1,6.1,31.7,13.0,Good
4304,19,27.2,9.4,1012.7,45,0,16.1,5.9,16.5,18.0,Good
4305,19.8,26.7,10,1013.5,46,0,16.1,5.7,20.6,35.0,Good
4306,20,26.1,11.1,1016.2,42,0,16.1,7.6,20.6,18.0,Good
4310,17.8,26.7,12.8,998.9,52,0,16.1,12,25.9,13.0,Good
4311,16.2,20.6,11,996.6,63,0,14.6,5.2,20.6,13.0,Good
4312,11.9,18.9,10,1000.8,84,11.18,14.6,6.9,18.3,9.0,Good
4317,19.2,23.9,11.1,1002.8,53,0,16.1,5,18.3,14.0,Good
4318,19.1,25,13.3,1005.2,53,0,16.1,11.1,25.9,15.0,Good
4319,16,22.8,12.2,1003.2,77,0.25,14.6,5.7,14.8,14.0,Good
4323,21.1,23.9,17.8,1009.8,46,0,16.1,11.9,20.6,9.0,Good
4324,16.7,23.9,11,1009.5,61,1.78,16.1,7.2,22.2,8.0,Good
4325,14.3,21.1,6.7,1014.9,50,2.03,16.1,4.4,11.1,9.0,Good
4329,17.2,22.8,8.9,1010.7,48,0,16.1,7.8,14.8,5.0,Good
4330,14.9,20,7.8,1018.3,62,0.25,16.1,3.1,13,15.0,Good
4331,16.1,20.6,8.3,1013.7,58,0,16.1,4.4,14.8,7.0,Good
4335,12.1,14.4,10.6,1014.4,87,4.32,11.1,3.7,9.4,13.0,Good
4336,11.6,16.1,9.4,1013.3,87,15.24,11.6,3.5,11.1,15.0,Good
4337,14.9,17.8,9.4,1008.6,79,0.25,14.8,6.1,13,27.0,Good
4341,16.2,21.1,11.7,1021.3,72,0.51,16.1,3.5,13,17.0,Good
4342,18.3,26.1,10.6,1015.1,59,0,16.1,4.3,13,33.0,Good
4343,20.8,27.2,11.7,1011.1,55,0,16.1,6.9,20.6,20.0,Good
4347,13.4,20.6,6.1,1010.5,68,0,16.1,5.2,18.3,8.0,Good
4349,16,21.7,6.1,1006.2,57,0,16.1,5.2,9.4,24.0,Good
4350,16.6,21.1,10.6,1001.9,56,0,16.1,5,16.5,9.0,Good
4351,11.9,18.9,8.3,1011.3,72,0,16.1,11.9,20.6,5.0,Good
4355,15.2,22.2,7.2,1009.9,72,0,16.1,3.5,14.8,18.0,Good
4356,11.1,17.2,8.9,1013.8,86,2.03,12.7,4.4,14.8,5.0,Good
4357,12.9,20,6.1,1014.2,68,0.76,16.1,2.6,11.1,13.0,Good
4361,16.8,23.9,9.4,1015.1,56,0,16.1,2.4,9.4,50.0,Good
4362,16.6,24.4,7.8,1016.8,57,0,16.1,1.7,9.4,26.0,Good
4363,17.4,25.6,8.9,1014,55,0,16.1,3.1,14.8,20.0,Good
4367,15.2,21.7,6.7,1004.9,58,0,14.3,3.7,18.3,68.0,Moderate
4368,15.1,22,10,1007.6,54,0,16.1,4.1,16.5,13.0,Good
4369,13.1,19.4,10,1014.8,66,0,16.1,10.9,18.3,15.0,Good
4373,11.9,17.2,8.9,1010.5,79,1.78,14.6,8.9,18.3,99.0,Moderate
4374,11.3,15,8.9,1012.8,86,5.08,12.2,4.4,11.1,55.0,Moderate
4375,10.9,12.2,9.4,1003.3,89,19.3,10.5,9.8,38.9,10.0,Good
4379,14.7,22.2,7.8,1004.4,65,0.25,16.1,9.4,29.4,17.0,Good
4381,12.2,16.1,9.4,1002.2,69,0.25,16.1,6.3,14.8,27.0,Good
4382,9.8,16.7,5.6,1001.7,88,0.25,11.4,5.7,13,28.0,Good
4383,11.9,16.7,5.6,999.4,65,0.51,16.1,6.9,13,27.0,Good
4387,8.5,10,6.7,1016.2,66,0,16.1,11.5,18.3,35.0,Good
4388,4.7,11.7,-1.7,1013,75,0,16.1,2,18.3,28.0,Good
4389,6.8,11.7,-0.5,1011.4,69,0,16.1,5.9,18.3,31.0,Good
4393,5.1,13.3,-3.3,1008.9,58,0,16.1,1.9,9.4,30.0,Good
4394,5,11.1,0,1009.2,60,0,16.1,4.4,11.1,30.0,Good
4395,6.8,14.4,0,1008.3,70,0,16.1,3.7,9.4,31.0,Good
4399,7.6,13.3,-1.6,1004.7,68,0,16.1,4.6,14.8,42.0,Good
4400,8.4,10.6,2.2,1002.2,87,1.52,12.1,5.7,24.1,31.0,Good
4401,9.8,15.6,6.7,1005,91,3.3,11.4,2.6,9.4,23.0,Good
4405,4.7,15.6,-0.6,1008.7,66,0,16.1,4.1,14.8,45.0,Good
4406,9.1,15.6,-0.5,994.9,57,0,16.1,4.6,13,26.0,Good
4407,8.9,16.1,3.3,982.7,52,0,16.1,8.1,13,22.0,Good
4412,-1.2,5.6,-6.1,1021.2,81,0,16.1,1.1,9.4,68.0,Moderate
4413,0.7,7.2,-3.9,1024.3,71,0,16.1,2,13,88.0,Moderate
4414,2.4,12.2,-2.8,1021.8,67,0,16.1,1.7,9.4,62.0,Moderate
4418,4.4,7.2,1.7,1024.9,91,3.81,14.8,1.9,9.4,41.0,Good
4419,4.4,6.7,2.8,1022.8,93,7.11,10.9,3.7,13,32.0,Good
4420,1.2,5,-2.8,1027.7,83,10.67,15.4,5.9,16.5,32.0,Good
4424,-3.9,0,-9.4,998.5,55,0,16.1,17.4,31.7,30.0,Good
4425,-3.8,-0.6,-6.1,994.4,63,0.51,15.1,11.3,20.6,17.0,Good
4426,-3.7,-1.1,-5.6,990.3,70,0.25,15.1,7.2,14.8,25.0,Good
4430,-8.6,-5.6,-13.3,1021,88,0.25,14.5,0.7,5.4,59.0,Moderate
4431,-9.9,-5.6,-16.1,1030.7,86,0,15.1,1.3,7.6,47.0,Good
4432,-8.3,-3.9,-16.1,1035.6,81,0,16.1,6.7,11.1,36.0,Good
4436,-14.9,-6.7,-22.8,1038.9,80,0,16.1,1.7,9.4,78.0,Moderate
4437,-10.1,-6.7,-18.3,1035,79,0,16.1,1.5,7.6,51.0,Moderate
4438,-7.4,-3.9,-11.7,1028.5,77,0,15.6,0,-,65.0,Moderate
4442,-8.6,-5.6,-10.6,1016.5,66,0,16.1,19.1,29.4,22.0,Good
4444,-12.5,-5.6,-22.2,1018,69,0,16.1,10.6,29.4,81.0,Moderate
4445,-20.9,-7.8,-26.7,1016.2,79,0,16.1,1.1,11.1,152.0,Unhealthy
4446,-9.7,-7.2,-15.6,1005.8,72,0,11.1,12.8,22.2,26.0,Good
4450,-28.3,-22.2,-31.1,1034.7,73,0,15.6,0.4,5.4,148.0,Unhealthy for Sensitive Groups
4451,-27.1,-18.9,-31.1,1034,75,0,16.1,1.3,7.6,222.0,Very Unhealthy
4452,-16.5,-10,-30,1021.3,77,0,16.1,0.7,7.6,74.0,Moderate
4456,-27.4,-17.2,-32.8,1025.1,77,0,13,1.5,9.4,82.0,Moderate
4457,-19.6,-13.3,-32.2,1010.1,79,0,16.1,4.3,13,81.0,Moderate
4458,-14.6,-12.2,-22.2,1008.7,68,0,16.1,5.9,11.1,47.0,Good
4462,-21.5,-16.7,-28.3,1014.3,57,0,16.1,13,29.4,27.0,Good
4463,-20.8,-16.7,-28.3,1017,62,0,16.1,8.3,25.9,118.0,Unhealthy for Sensitive Groups
4464,-27.4,-16.7,-32.2,1018.7,75,0,16.1,0.6,9.4,154.0,Unhealthy
4468,-28.6,-23.9,-31.1,1026.9,73,0,11.6,0.9,7.6,180.0,Unhealthy
4469,-28.3,-23.9,-31.1,1031.2,73,0,16.1,0.2,5.4,200.0,Unhealthy
4470,-27.8,-23.9,-30.6,1026.4,73,0,16.1,0.9,5.4,166.0,Unhealthy
4475,-34.1,-30.6,-35.6,1018.7,74,0,13.2,0.9,5.4,163.0,Unhealthy
4476,-35,-31.7,-37.2,1014.8,85,0,10,0.2,5.4,151.0,Unhealthy
4477,-37.3,-33.9,-39.4,1019.2,-,0,12.2,0.4,5.4,159.0,Unhealthy
4481,-34,-26.7,-35.6,1021,76,0,15.4,0.9,7.6,181.0,Unhealthy
4482,-31.8,-30,-35.6,1020,71,0,15.1,4.6,7.6,175.0,Unhealthy
4483,-19.3,-12.8,-33.3,1002.3,79,0,11.9,2.2,9.4,69.0,Moderate
4487,-5.7,-0.6,-13.3,988.1,88,18.29,3.9,5.7,24.1,24.0,Good
4488,-19.6,-12.2,-25,997.6,80,4.06,12.4,4.1,14.8,47.0,Good
4489,-32.4,-17.2,-40.6,999.9,-,0.51,9.7,0.2,5.4,67.0,Moderate
4493,-29.6,-28.3,-33.9,1016.5,73,0,12.9,0.9,7.6,90.0,Moderate
4494,-37.9,-28.3,-43.9,1036.4,-,0.25,5.8,0.2,5.4,160.0,Unhealthy
4495,-41.7,-36.1,-43.9,1039.5,-,0,0.6,0.2,5.4,169.0,Unhealthy
4499,-21.1,-16.1,-36.1,1008.2,79,0,15.8,2.8,9.4,95.0,Moderate
4500,-18.9,-11.7,-26.1,1006,80,0,15.9,2,7.6,169.0,Unhealthy
4501,-26.5,-22.8,-28.3,1000.7,76,0,16.1,0.7,5.4,142.0,Unhealthy for Sensitive Groups
4505,-4.9,5,-19.4,995.6,71,0,16.1,3.5,13,85.0,Moderate
4506,-5.5,6.7,-14.4,1004.2,67,0,16.1,6.7,13,68.0,Moderate
4507,-8.7,-2.2,-14.4,992,83,0,16.1,1.5,9.4,155.0,Unhealthy
4508,-13.7,-5,-17.2,1001.9,85,0,16.1,3.7,9.4,95.0,Moderate
4512,-19.6,-12.8,-22.8,991.7,83,0,16.1,1.5,7.6,167.0,Unhealthy
4513,-24.8,-15,-28.9,1004.3,77,0,15,0.7,5.4,103.0,Unhealthy for Sensitive Groups
4514,-22.2,-17,-27.8,1021.4,79,1.02,10.8,1.3,9.4,87.0,Moderate
4518,-4.2,0.6,-11.7,1008.5,90,0.25,14,2.2,14.8,72.0,Moderate
4519,-1.6,2.8,-10,998.2,94,1.52,14,3.3,16.5,35.0,Good
4520,-5.2,2.8,-16.1,1014,81,5.59,14.2,10.7,33.5,36.0,Good
4524,-28.8,-17.8,-34.4,1030.7,77,0,16.1,9.8,14.8,99.0,Moderate
4525,-15.9,-11.7,-20.6,1021.4,75,0,14.5,9.6,16.5,55.0,Moderate
4526,-12,-11.1,-12.8,1020.7,80,4.57,9.8,8.3,16.5,42.0,Good
4530,-27.4,-15,-36.7,1013.4,74,0,15,6.3,16.5,121.0,Unhealthy for Sensitive Groups
4531,-38.6,-30.6,-41.7,1019.9,-,0,6.8,1.5,7.6,147.0,Unhealthy for Sensitive Groups
4532,-38.8,-32.8,-44.4,1025,-,0,4.5,0.9,5.4,150.0,Unhealthy for Sensitive Groups
4536,-12.8,-11.7,-22.2,1009.4,75,0.25,11.4,2.6,7.6,80.0,Moderate
4538,-17.1,-11.7,-26.1,1020.8,83,2.29,14,2.8,11.1,81.0,Moderate
4539,-17.5,-10.6,-25.6,1012.1,81,0,16.1,8,16.5,72.0,Moderate
4540,-13.7,-9.4,-21.1,999.5,78,0,16.1,9.3,14.8,97.0,Moderate
