,Average Temperature,Maximum temperature,Minimum temperature,Atmospheric pressure at sea level,Average relative humidity,Total rainfall and / or snowmelt,Average visibility,Average wind speed,Maximum sustained wind speed,PM2.5 AQI Value,AQI Category
3440,-11.4,4.4,-22.8,987.2,72,0,16.1,3.3,13,71.0,Moderate
3444,-15,-0.6,-20,1000.4,76,0.51,10.5,8.7,20.6,30.0,Good
3445,-22,-6.7,-31.1,995.2,71,0,15.3,3.9,16.5,58.0,Moderate
3446,-9.4,-4,-14,976.7,56,-,16.1,12.4,18.3,16.0,Good
3450,-22.2,-12,-32,1001.2,70,0,15.8,0.9,7.6,59.0,Moderate
3451,-19.1,-11,-26.1,998.9,74,0,15.9,2.8,11.1,58.0,Moderate
3452,-11.1,-7,-12,1007,82,0.51,11.4,2.2,11.1,36.0,Good
3456,-9.7,4.4,-19.4,1020.2,62,0,16.1,1.9,7.6,49.0,Good
3457,-6.9,5,-18.3,1017.7,56,0,16.1,3.7,9.4,39.0,Good
3458,-9,3.9,-22.2,1017.8,45,0,16.1,6.7,14.8,44.0,Good
3462,-9.2,-2.2,-15,1009.4,50,0,16.1,15.7,25.9,28.0,Good
3463,-10.8,-2.2,-20.6,1007.8,49,0,16.1,10.7,24.1,40.0,Good
3464,-7.6,3.3,-18.3,987.6,59,0,16.1,3.7,13,33.0,Good
3468,-4.4,4,-14,997.2,67,0,16.1,6.1,13,30.0,Good
3470,0,8.9,-13.9,993.7,-,0,16.1,3.9,14.8,56.0,Moderate
3471,1.7,9,-6,992.1,50,0,16.1,6.5,11.1,33.0,Good
3476,0.6,6.1,-3.9,999.5,61,0,16.1,8,16.5,19.0,Good
3477,-1.9,2.2,-5,1012.5,59,0,14.6,16.3,22.2,15.0,Good
3478,-5.7,0.6,-12.8,1024.2,54,0,16.1,8,22.2,24.0,Good
3482,4.7,10,-1,998.6,47,0,15.9,10.6,29.4,19.0,Good
3483,0.7,5.6,-5,1010.3,58,0.25,16.1,7,18.3,18.0,Good
3484,2.7,6.7,-2.8,1017.2,54,0,16.1,6.9,13,14.0,Good
3488,9.2,17.2,0,999.9,41,0,16.1,7.6,18.3,23.0,Good
3489,11.4,18.9,3.3,999.8,36,0,16.1,7,20.6,14.0,Good
3490,7.4,17.2,-0.6,999.4,38,0,16.1,5.9,11.1,20.0,Good
3494,6.3,21.7,-3.2,1012.8,35,0,16.1,5.2,14.8,19.0,Good
3495,12,16.7,8.9,1002.2,28,0,16.1,9.4,14.8,20.0,Good
3496,11.5,18.9,4.4,994.4,39,0,16.1,3.1,9.4,22.0,Good
3501,5.9,10.6,3,1008.3,84,6.1,15.9,3.5,14.8,10.0,Good
3502,8.1,12,5.6,1009.7,67,0.25,16.1,13,22.2,14.0,Good
3507,9.4,15.6,-1.6,1027.2,39,0,16.1,10.7,25.9,20.0,Good
3508,8.3,16.7,-1.1,1022.5,39,0,16.1,5.6,18.3,25.0,Good
3509,8.1,15.6,-0.6,1013.8,41,0,16.1,6.3,16.5,17.0,Good
3513,10.1,18.3,2.2,1004.9,59,0,16.1,12,31.7,14.0,Good
3514,8.1,17.2,0,1012.9,52,1.27,16.1,7.4,22.2,19.0,Good
3515,12.8,18.3,0,1005,35,0,16.1,5.4,18.3,23.0,Good
3519,18.6,24.4,6.1,1002.9,32,0,16.1,19.3,31.7,8.0,Good
3520,16.1,24.4,8.9,1003.2,46,0,16.1,13,33.5,31.0,Good
3521,13.6,21.7,5.6,1010.9,59,0,16.1,4.6,16.5,45.0,Good
3525,17.1,25,8.3,1010.6,58,0.51,16.1,6.1,22.2,23.0,Good
3526,18.8,25.6,10,1014.4,51,0,16.1,5.4,22.2,24.0,Good
3527,19.8,26.7,10,1017,42,0,16.1,7.4,18.3,46.0,Good
3531,18.4,26.7,11.1,1005.9,50,0,10.3,5.4,22.2,130.0,Unhealthy for Sensitive Groups
3533,17.6,25,11.1,998,55,0,11.1,6.1,22.2,76.0,Moderate
3534,15.8,25,8.3,995,57,0.25,15.6,6.7,27.8,60.0,Moderate
3535,17.2,26.1,9.4,991.3,58,0,15.9,5.9,20.6,67.0,Moderate
3539,14.3,21.1,10,1016.2,77,0.51,16.1,2.2,11.1,45.0,Good
3540,15.8,21.1,8.9,1015.2,65,0,16.1,6.1,20.6,56.0,Moderate
3541,12.3,20,8.9,1015.3,82,4.06,12.1,5.4,24.1,59.0,Moderate
3545,11.9,16.7,10.6,1005.7,83,6.6,15,9.6,20.6,17.0,Good
3546,15.2,22.2,7.8,1012.8,57,3.3,16.1,6.1,16.5,21.0,Good
3547,16.9,23,10.6,1010.7,47,0,16.1,7,16.5,15.0,Good
3551,15.4,20.6,8.3,1013.7,52,0,16.1,7,16.5,40.0,Good
3552,14.8,20,8.3,1015.7,65,0,13.7,7.2,16.5,24.0,Good
3553,15.3,22.2,11.7,1018,72,7.37,16.1,3.7,11.1,14.0,Good
3557,18.9,25,10.6,1005,53,0,15,5.7,20.6,43.0,Good
3558,18.8,25,10.6,1003.7,59,0.25,16.1,7.2,29.4,28.0,Good
3559,14.9,22.8,11.7,1005.5,79,4.32,15,8.1,29.4,25.0,Good
3564,17,23.9,10.6,1007.9,77,0.51,16.1,4.3,13,25.0,Good
3565,19,24.4,11.1,1007.1,60,0,16.1,5.2,13,23.0,Good
3566,18.2,23.9,12.2,1003.6,66,0,16.1,6.1,33.5,25.0,Good
3570,16.4,22.2,9.4,1018.6,52,0,16.1,5.7,16.5,11.0,Good
3571,18.6,26.1,9.4,1017.1,48,0,16.1,3.9,13,20.0,Good
3572,22.2,28.9,10,1011.5,43,0,16.1,5.4,13,22.0,Good
3576,18.7,25,13.9,1006.4,58,0,14.3,7.4,16.5,126.0,Unhealthy for Sensitive Groups
3577,15.7,19,12,1009.7,65,0.51,15.4,11.1,25.9,58.0,Moderate
3578,11.8,20,8.9,1015.4,77,3.05,12.1,9.8,25.9,81.0,Moderate
3582,17.1,23.3,12.2,1015.4,68,0.25,14.8,5.9,18.3,25.0,Good
3583,15.8,20.6,12.8,1016.5,76,3.05,15.1,7.8,16.5,13.0,Good
3584,16.9,21.7,12.8,1012.2,72,2.79,14.6,3.3,20.6,25.0,Good
